TOM PETTY	RUNNIN' DOWN A DREAM
STEVIE WONDER	I WISH
THE LOVIN' SPOONFUL	YOU DIDN'T HAVE TO BE SO NICE
THE MONKEES	DAYDREAM BELIEVER
THE HERMAN'S HERMITS	I'M HENRY VIII, I AM
THE ISLEY BROTHERS	SUMMER BREEZE, PTS. 1 & 2
JACKSON 5	ABC
JACKSON 5	I WANT YOU BACK
SMOKEY ROBINSON	CRUISIN'
FOUR TOPS	REACH OUT, I'LL BE THERE
SMOKEY ROBINSON & THE MIRACLES	I SECOND THAT EMOTION
JAMES BROWN	PAPA'S GOT A BRAND NEW BAG (PT. 1)
THE ISLEY BROTHERS	THIS OLD HEART OF MINE (IS WEAK FOR YOU)
THE COWSILLS	THE RAIN, THE PARK AND OTHER THINGS
CROSBY, STILLS & NASH	LOVE THE ONE YOU'RE WITH
BOB SEGER	BOB SEGAR 	NIGHT MOVES
	EDDIE RABBIT	DRIVING MY LIFE AWAY.MP3
GLORIA ESTEFAN	CONGA
SUM 41	IN TOO DEEP	08-SUM 41	IN TOO DEEP.MP3
	058 TIESTO, VASSY, KSHMR	SECRETS (RADIO EDIT).MP3
MARTIN GARRIX	THE ONLY WAY IS UP (RADIO EDIT)
VARIOUS ARTISTS	BACK IN LOVE AGAIN
VARIOUS ARTISTS	CHERRY, CHERRY
JAMES BROWN & THE FAMOUS FLAMES	I GOT YOU (I FEEL GOOD)
VARIOUS ARTISTS	SCHOOL'S OUT
	FOREIGNER	FOREIGNER	HOT BLOODED.MP3
DEEP CHILLS	WAIKIKI	ORIGINAL MIX
	2A	150	AWOLNATION	SAIL	UNLIMITED GRAVITY REMIX
CLEAN BANDIT	SYMPHONY (FEAT. ZARA LARSSON)
	11. NEIL DIAMOND	SWEET CAROLINE.MP3
	011. TAYLOR SWIFT	WE ARE NEVER EVER GETTING BACK TOGETHER.MP3
WALT DISNEY PICTURES	STAND OUT (TEVIN CAMPBELL)
	035. HOOK N SLING AND NERVO	REASON (ORIGINAL MIX).MP3
YELLOW CLAW	KAOLO PT.2
VARIOUS	(I GOT SPURS) JINGLE JANGLE JINGLE	KAY KYSER
BILL MEDLEY	(I'VE HAD) THE TIME OF MY LIFE
DJ JAZZY JEFF & THE FRESH PRINCE	THE FRESH PRINCE OF BEL-AIR
O-ZONE	DRAGOSTEA DIN TEI (DJ ROSS EXTENDED RMX)
THE FOUR SEASONS	WALK LIKE A MAN
THE FOUR SEASONS	BEGGIN'
ALEX GAUDINO	I DON'T WANNA DANCE (ORIGINAL MIX) (FEAT. TABOO)
STEVE AOKI	TURBULENCE (RADIO EDIT) (FEAT. LIL JON)
WIZ KHALIFA	YOUNG, WILD & FREE (FEAT. BRUNO MARS)
BRILLZ & WILLY JOY	WTF
FLUX PAVILION	WHO WANTS TO ROCK (FEAT. RIFF RAFF)
TECH N9NE	WELCOME TO STRANGELAND
DAVID GUETTA	CHRIS WILLIS	JOACHIM GARRAUD	TOCADISCO	TOMORROW CAN WAIT (TOCADISCO EVIL MIX)
FLIGHT FACILITIES	STAND STILL (WAVE RACER REMIX) (FEAT. MICKY GREEN)
COHEED & CAMBRIA	SECOND STAGE TURBINE BLADE
COHEED & CAMBRIA	THE RING IN RETURN
COHEED & CAMBRIA	THE REAPING
JAY-Z / LINKIN PARK	NUMB/ENCORE
THE ALLMAN BROTHERS BAND	MIDNIGHT RIDER
EMINEM	THE MONSTER (FEAT. RIHANNA)
LIL WAYNE	MIRROR
TINIE TEMPAH	MIAMI 2 IBIZA
SHANIA TWAIN	MAN I FEEL LIKE A WOMAN
DAVID GUETTA	LOVERS ON THE SUN (FEAT. SAM MARTIN)
COHEED & CAMBRIA	KEEPING THE BLADE
BASSNECTAR	HOT RIGHT NOW (BASSNECTAR REMIX)
COHEED & CAMBRIA	THE HOLLOW
N.A.S.A.	GIFTED (STEVE AOKI REMIX FEAT. KANYE WEST, SANTIGOLD & LYKKE LI)
COHEED & CAMBRIA	THE END COMPLETE I  THE FALL OF HOUSE ATLANTIC
STEVE AOKI FEAT. RIVERS CUOMO	EARTHQUAKEY PEOPLE (ALVIN RISK REMIX) (FEAT. RIVERS CUOMO)
FLO RIDA	CLUB CAN'T HANDLE ME (FEAT. DAVID GUETTA)
FOGGY	COME... (INTO MY DREAM) (RADIO CUT)
ZION I	COASTIN' FEAT. K. FLAY (DIRTY)
DIRTY SOUTH	CITY OF DREAMS (ORIGINAL MIX) (FEAT. RUBEN HAZE)
RYAN TEDDER	CALLING (LOSE MY MIND) (EXTENDED CLUB MIX) (FEAT. RYAN TEDDER)
HARDWELL	CALL ME A SPACEMAN (EXTENDED MIX) (FEAT. MITCH CROWN)
THE MAMA'S AND THE PAPA'S	CALIFORNIA DREAMIN' (SINGLE VERSION)
THE MAC	SENIOR SKIP DAY (THE MAC)
TEVIN CAMPBELL	I 2 I
RUDIMENTAL	FEEL THE LOVE (FEAT. JOHN NEWMAN)
HARDWELL	CALL ME A SPACEMAN (RADIO EDIT) (FEAT. MITCH CROWN)
WIZ KHALIFA	OG (FEAT. CURREN$Y)
MARTIN SOLVEIG & DRAGONETTE	HELLO (SINGLE EDIT)
RIHANNA	DON'T STOP THE MUSIC
AVENGED SEVENFOLD	SO FAR AWAY
SWEDISH HOUSE MAFIA VS. TINIE TEMPAH	MIAMI 2 IBIZA
MANUFACTURED SUPERSTARS	STAY (BONUS TRACK) (AU5 REMIX) (FEAT. JARVIS CHURCH)
THE HOLLIES	LONG COOL WOMAN (IN A BLACK DRESS) (1999 REMASTERED VERSION)
OUTKAST FEAT. SLEEPY BROWN	THE WAY YOU MOVE (CLUB MIX)
DETHKLOK	DETHTHEME
DEVOTCHKA	THE WINNER IS (FROM LITTLE MISS SUNSHINE)
FUNKAGENDA	DRIFT (ORIGINAL CLUB MIX)
DIMITRI VEGAS, MOGUAI	MAMMOTH
DEAD PREZ AND WTF?	IT'S BIGGER THAN HIP HOP UK (DUBBED OUT MIX)
DEADMAU5	HR 8938 CEPHEI
FEED ME AND TASHA BAXTER	STRANGE BEHAVIOUR (ORIGINAL MIX)
