THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH)  (DIPLO + GRANDTHEFT REMIX)
CHIC                                                         |LE FREAK (REMASTERED)
EIFFEL 65                                                    |BLUE (DA BA DEE) (EXTENDED MIX)
TIMMY TRUMPET                                                |FREAKS
PHOENIX                                                      |CONSOLATION PRIZES
THE O'JAYS                                                   |LOVE TRAIN
DAVID GUETTA & SHOWTEK                                       |BAD (FEAT. VASSY) (RADIO EDIT)
CYNDI LAUPER                                                 |GIRLS JUST WANT TO HAVE FUN
BINGO PLAYERS                                                |GET UP (RATTLE) (FEAT. FAR EAST MOVEMENT) (VOCAL EDIT)
NIRVANA                                                      |SMELLS LIKE TEEN SPIRIT (BUTCH VIG MIX)
DAVID GUETTA                                                 |WITHOUT YOU
KANYE WEST & JAY-Z                                           |NO CHURCH IN THE WILD
D.H.T.                                                       |LISTEN TO YOUR HEART (FURIOUS F. EZ RADIO EDIT)
DEADMAU5 & WOLFGANG GARTNER                                  |CHANNEL 42
LINKIN PARK                                                  |GIVEN UP
PASSION PIT                                                  |THE REELING
EXAMPLE                                                      |PERFECT REPLACEMENT
CALVIN HARRIS                                                |WE'LL BE COMING BACK
VOODOO & SERANO                                              |BLOOD IS PUMPING 2005
PASSION PIT                                                  |MOTH'S WINGS
TECH N9NE                                                    |LET ME IN
BINGO PLAYERS                                                |DON'T BLAME THE PARTY (MODE) (FIREBEATZ REMIX)
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |MEDLEY
AAREN SAN                                                    |FAIRY TALES FROM OSC
TJR & VINAI                                                  |BOUNCE GENERATION
LIL WAYNE                                                    |RACKS
MACKLEMORE & RYAN LEWIS                                      |DANCE OFF (FEAT. IDRIS ELBA & ANDERSON .PAAK)
PINK FLOYD                                                   |ANOTHER BRICK IN THE WALL PART 3
CARNAGE & BORGORE                                            |INCREDIBLE (NEW HEROES X VILLAINS REMIX)
UB40                                                         |THE WAY YOU DO THE THINGS YOU DO (LIVE)
ROBERT JOHN                                                  |THE LION SLEEPS TONIGHT
DARUDE                                                       |MUSIC
GREASE (ORIGINAL 1978 MOTION PICTURE SOUNDTRACK)             |SANDY
THE NOTORIOUS B.I.G.                                         |HYPNOTIZE (2014 REMASTERED VERSION)
THE BANGLES                                                  |MANIC MONDAY
2PAC                                                         |CALIFORNIA LOVE
DEF LEPPARD                                                  |ARMAGEDDON IT
RUSH                                                         |'2112': I: OVERTURE / II: THE TEMPLES OF SYRINX / III: DISCOVERY / IV: PRESENTATION / V: ORACLE: THE DREAM / VI. SOLILOQUY / VII. GRAND FINALE
THE STRUTS                                                   |PUT YOUR MONEY ON ME
THE OFFSPRING                                                |THE KIDS AREN'T ALRIGHT
THE STRUTS                                                   |BLACK SWAN
GREEN DAY                                                    |AMERICAN IDIOT
THE STRUTS                                                   |ROLL UP
THE STRUTS                                                   |KISS THIS
THE STRUTS                                                   |COULD HAVE BEEN ME
YOUNG THE GIANT                                              |COUGH SYRUP
TWENTY ONE PILOTS                                            |THE JUDGE
THE HEAVY (UK)                                               |HOW YOU LIKE ME NOW
THE STROKES                                                  |YOU ONLY LIVE ONCE
MY CHEMICAL ROMANCE                                          |TEENAGERS
THE STRUTS                                                   |PUT YOUR MONEY ON ME (LIVE / ACOUSTIC)
THE STRUTS                                                   |DIRTY SEXY MONEY
NINE DAYS                                                    |ABSOLUTELY (STORY OF A GIRL)
TWENTY ONE PILOTS                                            |POLARIZE
BØRNS                                                        |ELECTRIC LOVE
LADY GAGA                                                    |JUST DANCE (FEAT. KARDINAL OFFISHALL) (REDONE REMIX)
ALT-J                                                        |BREEZEBLOCKS
COMMODORES                                                   |BRICK HOUSE (12" MIX)
BILLY JOEL                                                   |IT'S STILL ROCK & ROLL TO ME
LOVERBOY                                                     |WORKING FOR THE WEEKEND
TREY PARKER, MATT STONE & HARRY GREGSON-WILLIAMS             |MONTAGE
THREE DAYS GRACE                                             |BREAK
FREE                                                         |ALL RIGHT NOW (SINGLE VERSION)
THE LOVIN' SPOONFUL                                          |SUMMER IN THE CITY
DEVOTCHKA                                                    |CHARLOTTE MITTNACHT (THE FABULOUS DESTINY OF...)
DEVOTCHKA                                                    |STRIZZALO
BLIND PILOT                                                  |ONE RED THREAD
THE PIANO GUYS                                               |THE CELLO SONG
BROKEN BELLS                                                 |THE GHOST INSIDE
HEART                                                        |MAGIC MAN
GOLDEN EARRING                                               |RADAR LOVE
THE GUESS WHO                                                |NO TIME
GERRY & THE PACEMAKERS                                       |HOUSE OF THE RISING SUN
GOOD CHARLOTTE                                               |THE ANTHEM
PHIL COLLINS                                                 |YOU CAN'T HURRY LOVE
BLONDIE                                                      |ONE WAY OR ANOTHER
THE GUESS WHO                                                |AMERICAN WOMAN
STEPHEN STILLS                                               |LOVE THE ONE YOU'RE WITH
MATCHBOX TWENTY                                              |HOW FAR WE'VE COME
KANYE WEST                                                   |HEARTLESS
STEVE WINWOOD                                                |HIGHER LOVE
SAM & DAVE                                                   |HOLD ON I'M COMING
COLBIE CAILLAT                                               |BUBBLY
SHAWN LEE'S PING PONG ORCHESTRA & NINO MOSCHELLA             |KISS THE SKY
JACKSON BROWNE                                               |DOCTOR MY EYES
THE DIXIE CUPS                                               |IKO IKO
BILLY IDOL                                                   |MONY MONY
THE GOO GOO DOLLS                                            |BETTER DAYS
SERJ TANKIAN                                                 |LIE LIE LIE
NEON INDIAN                                                  |POLISH GIRL
LED ZEPPELIN                                                 |BABE I'M GONNA LEAVE YOU
BOB SEGER                                                    |HOLLYWOOD NIGHTS
FAR EAST MOVEMENT                                            |ROCKETEER
BEE GEES                                                     |YOU SHOULD BE DANCING (EDIT)
BOB SEGER                                                    |AGAINST THE WIND
EDDIE MONEY                                                  |BABY HOLD ON
CALVIN HARRIS                                                |DRINKING FROM THE BOTTLE (FEAT. TINIE TEMPAH)
RICK ASTLEY                                                  |TOGETHER FOREVER
BOB SEGER                                                    |TURN THE PAGE
FOO FIGHTERS                                                 |BEST OF YOU
BRUNO MARS                                                   |THAT'S WHAT I LIKE (PARTYNEXTDOOR REMIX)
NICO & VINZ                                                  |AM I WRONG
JACK JOHNSON                                                 |SITTING, WAITING, WISHING
KENNY ROGERS & THE FIRST EDITION                             |JUST DROPPED IN (TO SEE WHAT CONDITION MY CONDITION WAS IN)
THE SPINNERS                                                 |THE RUBBERBAND MAN
JOSEPH WILLIAMS (CHILDREN'S)                                 |CAN YOU FEEL THE LOVE TONIGHT (ALBUM VERSION)
JOURNEY                                                      |OPEN ARMS (2008 VERSION)
CHIC                                                         |GOOD TIMES (12" MIX) (REMASTERED)
ZAC BROWN BAND                                               |ISLAND SONG
THE ROLLING STONES                                           |UNDER MY THUMB
ATLANTA RHYTHM SECTION                                       |SPOOKY
TOMMY JAMES & THE SHONDELLS                                  |I THINK WE'RE ALONE NOW
ALAN MENKEN (CHILDREN'S)                                     |I WON'T SAY (I'M IN LOVE)
KATY PERRY                                                   |ROAR
KEITH URBAN                                                  |DAYS GO BY
THE BEATLES                                                  |GET BACK (DEMO)
TEN YEARS AFTER                                              |I'D LOVE TO CHANGE THE WORLD
THE SUBMARINES                                               |1940 (AMPLIVE REMIX)
BLONDIE                                                      |CALL ME
QUEEN                                                        |WE ARE THE CHAMPIONS (RAW SESSIONS VERSION)
APOCALYPTICA                                                 |I DON'T CARE
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |BIG GIRLS DON'T CRY
PAT BENATAR                                                  |HEARTBREAKER
38 SPECIAL                                                   |CAUGHT UP IN YOU
SUFJAN STEVENS                                               |CHICAGO (ADULT CONTEMPORARY EASY LISTENING VERSION)
THE BUGGLES                                                  |VIDEO KILLED THE RADIO STAR (1979)
THE BLACK CROWES                                             |HARD TO HANDLE
WALT DISNEY'S THE LION KING (CHILDREN'S)                     |CAN YOU FEEL THE LOVE TONIGHT
DAVID BOWIE                                                  |SUFFRAGETTE CITY (BBC RADIO VERSION)
THE KNACK                                                    |MY SHARONA (1979)
3OH!3                                                        |DON'T DANCE
BONNIE TYLER                                                 |TOTAL ECLIPSE OF THE HEART
AVICII                                                       |THE NIGHTS
THE INK SPOTS                                                |IF I DIDN'T CARE
THOUSAND FOOT KRUTCH                                         |UNTRAVELED ROAD
DEEP CHILLS                                                  |WAIKIKI (ORIGINAL MIX)
RAY PARKER JR                                                |GHOSTBUSTERS
L.T.D.                                                       |BACK IN LOVE AGAIN
THEFATRAT                                                    |MONODY (FEAT. LAURA BREHM)
TAYLOR SWIFT                                                 |WE ARE NEVER EVER GETTING BACK TOGETHER
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |WALK LIKE A MAN
AIRMEN OF NOTE                                               |IN THE MOOD
ALICE COOPER                                                 |SCHOOL'S OUT
MAURICE WILLIAMS & THE ZODIACS                               |STAY
PLUTO & YE.                                                  |BREATH
LITTLE RICHARD                                               |GOOD GOLLY MISS MOLLY
KID CUDI                                                     |ALL ALONG
BREAD                                                        |THE GUITAR MAN
SEBASTIAN INGROSSO & TOMMY TRASH                             |RELOAD
THE KINGSMEN (60S)                                           |LOUIE LOUIE
THE SHINS                                                    |SLEEPING LESSONS
DEEP PURPLE                                                  |HIGHWAY STAR
VAN MCCOY                                                    |THE HUSTLE (ORIGINAL MIX)
GLORIA ESTEFAN                                               |CONGA
LIONEL RICHIE                                                |ALL NIGHT LONG (ALL NIGHT)
GEORGE HARRISON                                              |MY SWEET LORD (2000)
SIMON & GARFUNKEL                                            |THE BOXER
IVAN GOUGH & FEENIXPAWL                                      |IN MY MIND (AXWELL MIX) (LIVE)
LA ROUX                                                      |BULLETPROOF
BOZ SCAGGS                                                   |LIDO SHUFFLE
OZZY OSBOURNE                                                |MR.CROWLEY
SAM SPARRO                                                   |BLACK & GOLD
JODI BENSON (CHILDREN'S)                                     |PART OF YOUR WORLD
ELTON JOHN (CHILDREN'S)                                      |CAN YOU FEEL THE LOVE TONIGHT
OTIS REDDING                                                 |MY GIRL
ALAN MENKEN (CHILDREN'S)                                     |COLORS OF THE WIND
DEADMAU5                                                     |ARGURU (ORIGINAL MIX)
TODD TERJE                                                   |INSPECTOR NORSE
SLY & THE FAMILY STONE                                       |DANCE TO THE MUSIC
CALVIN HARRIS                                                |BLAME (FEAT. JOHN NEWMAN) (R3HAB TRAP REMIX)
THE DREAM ACADEMY                                            |LIFE IN A NORTHERN TOWN (EXTENDED VERSION)
ATC (A TOUCH OF CLASS)                                       |AROUND THE WORLD (LA LA LA LA LA)
THE INK SPOTS                                                |I DON'T WANT TO SET THE WORLD ON FIRE
DEREK & THE DOMINOS                                          |LAYLA
MAX FROST                                                    |NICE AND SLOW
PROFESSOR GREEN                                              |JUNGLE
SUPERTRAMP                                                   |GIVE A LITTLE BIT
JOHN LLOYD YOUNG                                             |WALK LIKE A MAN
CALVIN HARRIS                                                |BOUNCE
LINDSEY STIRLING                                             |ZI ZI'S JOURNEY
THE CARS                                                     |LET'S GO
THE BOLLOX                                                   |TURA'LU
DIDO                                                         |WHITE FLAG
NOEMÍ                                                        |IN MY DREAMS
ALESSIA CARA (CHILDREN'S)                                    |HOW FAR I'LL GO (FROM "MOANA")
SULTAN & NED SHEPARD                                         |WALLS (ORIGINAL MIX)
DEMI LOVATO                                                  |GIVE YOUR HEART A BREAK
DONNA LEWIS                                                  |I LOVE YOU ALWAYS FOREVER
THE ISLEY BROTHERS                                           |SHOUT (PART 1 & 2)
SUM 41                                                       |THE HELL SONG
THE PENGUINS                                                 |EARTH ANGEL
DONAVON FRANKENREITER                                        |FREE
THOMPSON TWINS                                               |HOLD ME NOW
TOOL                                                         |SCHISM
THE EDGAR WINTER GROUP                                       |FREE RIDE
ADELE                                                        |SOMEONE LIKE YOU
ESCALA                                                       |REQUIEM FOR A TOWER
DEAN MARTIN                                                  |KING OF THE ROAD
KELLY ROWLAND                                                |DILEMMA (NELLY FEAT. KELLY ROWLAND)
PUDDLE OF MUDD                                               |SPIN YOU AROUND
BUSH                                                         |MACHINEHEAD
GALANTIS                                                     |HELP
JOHN DENVER                                                  |TAKE ME HOME, COUNTRY ROADS (LIVE)
DETHKLOK                                                     |SYMMETRY
RUSH                                                         |LIMELIGHT
GERALD LEVERT                                                |REACH OUT I'LL BE THERE (LIVE)
PHIL COLLINS (CHILDREN'S)                                    |STRANGERS LIKE ME
TED NUGENT                                                   |STRANGLEHOLD
ALBERT KING & STEVIE RAY VAUGHAN                             |PRIDE AND JOY
VAMPIRE WEEKEND                                              |CAMPUS
THE GUESS WHO                                                |NO SUGAR TONIGHT / NEW MOTHER NATURE
THE CALLING                                                  |WHERE EVER YOU GO
PHIL COLLINS & 'N SYNC (CHILDREN'S)                          |TRASHIN' THE CAMP
THREE DOG NIGHT                                              |SHAMBALA
THE LOVIN' SPOONFUL                                          |DO YOU BELIEVE IN MAGIC
BILLY IDOL                                                   |DANCING WITH MYSELF (REMIX)
GLORIA GAYNOR                                                |I WILL SURVIVE (RE-RECORDING)
KLINGANDE                                                    |JUBEL
JACK JOHNSON                                                 |BETTER TOGETHER
ANNA NALICK                                                  |BREATHE (2 AM)
AFROJACK                                                     |TAKE OVER CONTROL (FEAT. EVA SIMONS) (RADIO EDIT)
KATY PERRY                                                   |WIDE AWAKE
JUSTIN TIMBERLAKE                                            |WHAT GOES AROUND.../...COMES AROUND (INTERLUDE)
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (JAI WOLF REMIX)
MAROON 5                                                     |THIS LOVE
JONATHAN EDWARDS                                             |SUNSHINE
RICK ASTLEY                                                  |NEVER GONNA GIVE YOU UP
ROBIN SCHULZ                                                 |SUN GOES DOWN (FEAT. JASMINE THOMPSON) (RADIO MIX)
FOUR TOPS                                                    |REACH OUT I'LL BE THERE
FALL OUT BOY                                                 |THNKS FR TH MMRS
DVBBS & BORGEOUS                                             |TSUNAMI
STEVE PERRY                                                  |OH SHERRIE
STYX                                                         |TOO MUCH TIME ON MY HANDS
FLUME & CHET FAKER                                           |DROP THE GAME
KASKADE                                                      |NEVER SLEEP ALONE
SUGAR RAY                                                    |WHEN IT'S OVER
CHUBBY CHECKER                                               |THE TWIST (1976 VERSION)
QUEEN                                                        |DON'T STOP ME NOW
STARSHIP                                                     |NOTHING'S GONNA STOP US NOW
EVERLAST                                                     |WHAT IT'S LIKE (RADIO EDIT)
MARTIN GARRIX                                                |DON'T LOOK DOWN (FEAT. USHER)
THE ALL-AMERICAN REJECTS                                     |MOVE ALONG
THE ANGELS (60S)                                             |MY BOYFRIEND'S BACK
JOURNEY                                                      |LOVIN', TOUCHIN', SQUEEZIN'
THE CRANBERRIES                                              |DREAMS
DARWIN DEEZ                                                  |RADAR DETECTOR
LMFAO                                                        |CHAMPAGNE SHOWERS
NIGHT RANGER                                                 |SISTER CHRISTIAN
EAGLES                                                       |DESPERADO
AMERICA                                                      |VENTURA HIGHWAY
STEVE MILLER BAND                                            |FLY LIKE AN EAGLE
DIANA ROSS                                                   |I'M COMING OUT
PAT BENATAR                                                  |HIT ME WITH YOUR BEST SHOT
BLONDIE                                                      |THE TIDE IS HIGH (2014 VERSION)
SAM & DAVE                                                   |SOUL MAN
NADIA ALI, STARKILLERS & ALEX KENJI                          |PRESSURE (ALESSO RADIO EDIT)
DIRE STRAITS                                                 |WALK OF LIFE
GLADOS & JONATHAN COULTON                                    |STILL ALIVE
UTADA HIKARU                                                 |SANCTUARY (CLOSING)
DON HENLEY                                                   |THE BOYS OF SUMMER
ARETHA FRANKLIN                                              |RESPECT
FUN.                                                         |WE ARE YOUNG (FEAT. JANELLE MONAE)
JACKSON 5                                                    |ROCKIN' ROBIN
THREE DOG NIGHT                                              |ONE
THE OFFSPRING                                                |COME OUT AND PLAY
COLLECTIVE SOUL                                              |SHINE
CREED                                                        |HIGHER
HOT CHOCOLATE                                                |YOU SEXY THING
DEADMAU5 & KASKADE                                           |I REMEMBER (STROBELITE MIX)
DONNIE TRUMPET & THE SOCIAL EXPERIMENT                       |SUNDAY CANDY
HUEY LEWIS AND THE NEWS                                      |THE POWER OF LOVE
JOURNEY                                                      |FAITHFULLY (2008 VERSION)
DICKEY BETTS                                                 |RAMBLIN' MAN (FEAT. THE ALLMAN BROTHERS BAND)
PUDDLE OF MUDD                                               |BLURRY
MAROON 5                                                     |DAYLIGHT
NELLY                                                        |JUST A DREAM
IYAZ                                                         |REPLAY
SUPERTRAMP                                                   |THE LOGICAL SONG
THE BLACK EYED PEAS                                          |THE TIME (DIRTY BIT)
VANESSA CARLTON                                              |A THOUSAND MILES
LED ZEPPELIN                                                 |RAMBLE ON (ROUGH MIX WITH VOCAL)
BILL MEDLEY                                                  |(I'VE HAD) THE TIME OF MY LIFE (FEAT. JENNIFER WARNES)
ARETHA FRANKLIN                                              |(YOU MAKE ME FEEL LIKE) A NATURAL WOMAN
AYLA (DANCE)                                                 |AYLA (ORIGINAL DJ TAUCHER MIX)
AAREN SAN                                                    |BLACK HOLE INVADERS (PHATSO BROWN REMIX)
FOSTER THE PEOPLE                                            |CALL IT WHAT YOU WANT
MY CHEMICAL ROMANCE                                          |WELCOME TO THE BLACK PARADE (EDIT)
RADICAL FACE                                                 |WELCOME HOME
KANYE WEST & JAY-Z                                           |GOTTA HAVE IT
SCARS ON BROADWAY                                            |KILL EACH OTHER / LIVE FOREVER
SERJ TANKIAN                                                 |HONKING ANTELOPE
XROSS                                                        |WE CRAZY (FEAT. DAVID HURST)
THREE DAYS GRACE                                             |TIME OF DYING
THE NEIGHBOURHOOD                                            |SWEATER WEATHER (RADIO EDIT)
THE CHAINSMOKERS                                             |DON'T LET ME DOWN (FEAT. DAYA) (W&W REMIX)
MATCHBOX TWENTY                                              |UNWELL
FLOBOTS                                                      |HANDLEBARS
DJ JAZZY JEFF & THE FRESH PRINCE                             |THE FRESH PRINCE OF BEL AIR
THE RACONTEURS                                               |STEADY AS SHE GOES
BEYONCÉ                                                      |IRREPLACEABLE
AFI                                                          |MISS MURDER
KANYE WEST & JAY-Z                                           |WHO GON STOP ME
FRESH THE CLOWNS                                             |HOW FAST (#FTCCHALLENGE)
SIA                                                          |THE GREATEST
SUZANNE VEGA                                                 |TOM'S DINER
IMAGINE DRAGONS                                              |POLAROID
WALK THE MOON                                                |WORK THIS BODY
WALK OFF THE EARTH                                           |CORNER OF QUEEN
KYLIE MINOGUE                                                |CAN'T GET YOU OUT OF MY HEAD
COLD WAR KIDS                                                |SANTA ANA WINDS
JIMMY EAT WORLD                                              |SURE AND CERTAIN
COLBIE CAILLAT                                               |FALLIN' FOR YOU
JUDY KUHN                                                    |SATURDAY NIGHT (IS THE LONELIEST NIGHT OF THE WEEK)
BROKENCYDE                                                   |JEALOUSY
WEEZER                                                       |TROUBLEMAKER
THE J. GEILS BAND                                            |LOVE STINKS
MATTHEW WILDER & DAVID ZIPPEL (CHILDREN'S)                   |I'LL MAKE A MAN OUT OF YOU
PULLMAN                                                      |LYASNYA
MADELEINE PEYROUX                                            |J'AI DEUX AMOURS
BEIRUT                                                       |LA BANLIEUE
DUO GADJO & THEIR HOT FRIENDS                                |SOUS LE CIEL DE PARIS
THE SECTION QUARTET                                          |THE MAN WHO SOLD THE WORLD
LANDIS                                                       |HYPNOTICA
RADIOHEAD                                                    |WEIRD FISHES / ARPEGGI
ANDREW BIRD                                                  |THE SUPINE
EL TEN ELEVEN                                                |MY ONLY SWERVING
DEVOTCHKA                                                    |NEW WORLD
AL GREEN                                                     |HERE I AM
ENRIQUE IGLESIAS                                             |ESCAPE
PAUL MCCARTNEY                                               |HELLO GOODBYE (LIVE)
JEM                                                          |COME ON CLOSER
BLONDIE                                                      |DREAMING
JOAN JETT                                                    |I HATE MYSELF FOR LOVING YOU
ACEYALONE                                                    |LIGHTS OUT (FEAT. SAYYID & PRIEST) (AIRBORNE AUDIO)
BLACKBIRD                                                    |NO BELIEF
ENUR                                                         |ENUR'S BONFIRE (LUMIDEE REMIX)
JAMES ARTHUR                                                 |TRAIN WRECK
JOHN MELLENCAMP                                              |CHERRY BOMB
HERMAN'S HERMITS                                             |CAN'T YOU HEAR MY HEARTBEAT
BOB MARLEY                                                   |IS THIS LOVE (FEAT. LVNDSCAPE & BOLIER)
SIGMA                                                        |NOBODY TO LOVE (RADIO EDIT)
AYOKAY                                                       |KINGS OF SUMMER (FEAT. QUINN XCII)
KESHA                                                        |BLOW REMIX (FEAT. B.O.B.)
THE RIP CHORDS                                               |HEY LITTLE COBRA
BARENAKED LADIES                                             |IT'S ALL BEEN DONE
AWOLNATION                                                   |RUN
THE WEEKND                                                   |STARBOY (FEAT. DAFT PUNK) (KYGO REMIX)
SHOCKING BLUE                                                |NEVER MARRY A RAILROAD MAN
CROWN THE EMPIRE                                             |MEMORIES OF A BROKEN HEART
WE CAME AS ROMANS                                            |CAST THE FIRST STONE
ATTACK ATTACK! (US)                                          |TURBO SWAG
A DAY TO REMEMBER                                            |MR. HIGHWAY'S THINKING ABOUT THE END
RAY CHARLES                                                  |I GOT A WOMAN
LITTLE RICHARD                                               |WHOLE LOTTA SHAKIN' GOIN' ON
ELVIS PRESLEY                                                |BLUE SUEDE SHOES (TV)
SANTANA                                                      |PUT YOUR LIGHTS ON
AGENT ORANGE                                                 |BREAKDOWN
DEAD KENNEDYS                                                |DRUG ME
SEX PISTOLS                                                  |HOLIDAYS IN THE SUN
PINK FLOYD                                                   |ANOTHER BRICK IN THE WALL PART 1
ALT-J                                                        |MATILDA
PASTOR TROY                                                  |MY DOG TAGS
ARCTIC MONKEYS                                               |CORNERSTONE
COMMODORES                                                   |SWEET LOVE
BOB SEGER                                                    |KATMANDU
GUMMI BEAR                                                   |I'M YOUR GUMMI BEAR
KAT DELUNA                                                   |WHINE UP
AUGUSTANA                                                    |BOSTON
THE ALL-AMERICAN REJECTS                                     |DIRTY LITTLE SECRET
YG                                                           |MY HITTA
KASKADE                                                      |DONT STOP DANCING
DWAYNE JOHNSON (CHILDREN'S)                                  |YOU'RE WELCOME
SMOKEY ROBINSON & THE MIRACLES                               |YOU'VE REALLY GOT A HOLD ON ME
DAVID RUSH                                                   |SHOOTING STAR (PARTY ROCK MIX)
SAM SMITH                                                    |TOO GOOD AT GOODBYES (ACOUSTIC)
NF                                                           |LIE
CHILDISH GAMBINO                                             |LETTER HOME
SIDO                                                         |WEIHNACHTSSONG (2016 - REMASTER)
MAJOR LAZER & LA ROUX                                        |IN 4 THE KILL PON DE SKREAM
EXAMPLE                                                      |WATCH THE SUN COME UP (MOAM REMIX)
ED SHEERAN                                                   |PERFECT (DUET WITH BEYONCÉ)
LINDSEY STIRLING                                             |ELEMENTS
GODSMACK                                                     |LOVE-HATE-SEX-PAIN
SHINEDOWN                                                    |HOW DID YOU LOVE
COMMON MARKET                                                |NINA SING (FEAT. FUNKLOVE)
RADIOHEAD                                                    |VIDEOTAPEZ
ROOTBEER                                                     |SO GOOD
AER                                                          |WHAT YOU NEED
GRITS                                                        |OHH AHH (REMIX)
QUINN XCII                                                   |IRON & STEEL
THE WHITEST BOY ALIVE                                        |GOLDEN CAGE (FRED FALKE REMIX)
LISA                                                         |CROSSING FIELD
YOKO KANNO                                                   |INNER UNIVERSE
MASHUR & KEVLAR                                              |FINALE
TUESDAY BORN                                                 |SLEEP WITH STARS
CANBLASTER                                                   |I CAN'T WAIT
MICHAEL JACKSON                                              |P.Y.T. (PRETTY YOUNG THING)
GARY D                                                       |B.A.S.S. KICK DOWN (DAYWALKER REMIX)
CUT COPY                                                     |THAT WAS JUST A DREAM
WE HAVE BAND                                                 |HEAR IT IN THE CANS (DIY VERSION)
PETER GABRIEL                                                |IN YOUR EYES
THE BEAU BRUMMELS                                            |BANG BANG
IMAGINE DRAGONS                                              |I'M SO SORRY
SKILLET                                                      |COMATOSE
TAYLOR SWIFT                                                 |EVERYTHING HAS CHANGED
ELLA EYRE                                                    |WE DON'T HAVE TO TAKE OUR CLOTHES OFF
ISAIAH                                                       |IT'S GOTTA BE YOU
ERIC HUTCHINSON                                              |FOOD CHAIN
GAVIN DEGRAW                                                 |NEXT TO ME (WAIT A MINUTE SISTER)
WILSON PICKETT                                               |KNOCK ON WOOD
WEEZER                                                       |(IF YOU'RE WONDERING IF I WANT YOU TO) I WANT YOU TO
DIPLO                                                        |YOUNG FOLKS
BUSH                                                         |COMEDOWN (ACOUSTIC) (LIVE)
STEVIE WONDER                                                |DON'T YOU WORRY 'BOUT A THING
THE CARS                                                     |SHAKE IT UP
SIMPLE PLAN                                                  |SURRENDER
CROSBY, STILLS & NASH                                        |OUR HOUSE
TAIO CRUZ                                                    |DYNAMITE (MIXIN MARC REMIX RADIO EDIT)
THE SUPREMES                                                 |YOU CAN'T HURRY LOVE
MURS                                                         |ROAD IS MY RELIGION
KATE VOEGELE                                                 |HALLELUJAH
SIMON & GARFUNKEL                                            |THE BOXER (LIVE 1969)
COREY HART                                                   |SUNGLASSES AT NIGHT
BUSH                                                         |SWALLOWED
MATT NATHANSON                                               |WEIGHT OF IT ALL
MICHELLE BRANCH                                              |ALL YOU WANTED
KESHA                                                        |C'MON
PITBULL                                                      |INTERNATIONAL LOVE
COLDPLAY                                                     |TROUBLE
ALAN WALKER                                                  |FADED (DASH BERLIN REMIX)
THE XX                                                       |CRYSTALISED
SCARS ON BROADWAY                                            |INSANE
COMMON                                                       |LOVE IS...
ANDRE 3000                                                   |YOU
DARUDE                                                       |SANDSTORM (KOMYTEA RADIO REMIX)
RAY CHARLES                                                  |THE MIDNIGHT HOUR
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (AMBASSADEURS REMIX)
ARETHA FRANKLIN                                              |I SAY A LITTLE PRAYER
