CHILDISH GAMBINO                                             |BONFIRE
ANDY GIBB                                                    |I JUST WANT TO BE YOUR EVERYTHING
THE B-52'S                                                   |ROAM
NENA                                                         |99 LUFTBALLONS
THE DOORS                                                    |LOVE ME TWO TIMES
REO SPEEDWAGON                                               |KEEP PUSHIN'
GEORGIA SATELLITES                                           |KEEP YOUR HANDS TO YOURSELF
PEARL JAM                                                    |ALIVE
ELTON JOHN                                                   |SATURDAY NIGHT’S ALRIGHT (FOR FIGHTING) (REMASTERED 2014)
CHICAGO                                                      |SATURDAY IN THE PARK
SUPERTRAMP                                                   |GIVE A LITTLE BIT
ZZ TOP                                                       |GIMME ALL YOUR LOVIN'
ELECTRIC LIGHT ORCHESTRA                                     |SWEET TALKIN' WOMAN
THE CARS                                                     |LET'S GO
MY CHEMICAL ROMANCE                                          |NA NA NA (NA NA NA NA NA NA NA NA NA)
THE J. GEILS BAND                                            |CENTERFOLD
DAWN                                                         |KNOCK THREE TIMES
QUEEN                                                        |I WANT TO BREAK FREE (REMASTERED 2011)
STARSHIP                                                     |NOTHING'S GONNA STOP US NOW
MUNGO JERRY                                                  |IN THE SUMMERTIME
DOLLY PARTON                                                 |9 TO 5
JOAN JETT AND THE BLACKHEARTS                                |I HATE MYSELF FOR LOVING YOU
GROVER WASHINGTON, JR.                                       |JUST THE TWO OF US
STEVE PERRY                                                  |OH SHERRIE
BOW WOW WOW                                                  |I WANT CANDY
ALANIS MORISSETTE                                            |YOU OUGHTA KNOW (2015 REMASTER)
SHAWN MENDES                                                 |TREAT YOU BETTER
LENNY KRAVITZ                                                |IT AIN'T OVER 'TIL IT'S OVER
FINE YOUNG CANNIBALS                                         |SHE DRIVES ME CRAZY
BOB MARLEY & THE WAILERS                                     |STIR IT UP
HUEY LEWIS AND THE NEWS                                      |THE POWER OF LOVE
QUEEN                                                        |YOU'RE MY BEST FRIEND (REMASTERED 2011)
MICHAEL JACKSON                                              |WANNA BE STARTIN' SOMETHIN'
THE CRANBERRIES                                              |DREAMS
THE GUESS WHO                                                |NO TIME
THE COWSILLS                                                 |THE RAIN, THE PARK & OTHER THINGS (SINGLE VERSION)
THE WEEKND                                                   |PRAY FOR ME
HEAD EAST                                                    |NEVER BEEN ANY REASON
TOTO                                                         |ROSANNA
STEVIE WONDER                                                |UPTIGHT (EVERYTHING'S ALRIGHT)
HARRY BELAFONTE                                              |BANANA BOAT (DAY-O)
STEVIE WONDER                                                |I WISH
THE LOVIN' SPOONFUL                                          |YOU DIDN'T HAVE TO BE SO NICE
THE MONKEES                                                  |DAYDREAM BELIEVER
THE ISLEY BROTHERS                                           |SUMMER BREEZE, PTS. 1 & 2
SMOKEY ROBINSON                                              |CRUISIN'
FOUR TOPS                                                    |REACH OUT, I'LL BE THERE
JAMES BROWN                                                  |PAPA'S GOT A BRAND NEW BAG (PT. 1)
THE ISLEY BROTHERS                                           |THIS OLD HEART OF MINE (IS WEAK FOR YOU)
CLEAN BANDIT                                                 |SYMPHONY (FEAT. ZARA LARSSON)
YELLOW CLAW                                                  |KAOLO PT.2
DAVID GUETTA                                                 |LOVERS ON THE SUN (FEAT. SAM MARTIN)
DETHKLOK                                                     |DETHTHEME
AVENGED SEVENFOLD                                            |SIDEWINDER
TECH N9NE                                                    |WELCOME TO STRANGELAND
AVENGED SEVENFOLD                                            |SO FAR AWAY
