CHILDISH GAMBINO                                             |BONFIRE
THE KILLERS                                                  |ALL THESE THINGS THAT I'VE DONE
ELTON JOHN                                                   |I GUESS THAT'S WHY THEY CALL IT THE BLUES
LIN-MANUEL MIRANDA                                           |WE KNOW THE WAY
FALL OUT BOY                                                 |DANCE, DANCE
ELTON JOHN                                                   |SATURDAY NIGHT?S ALRIGHT (FOR FIGHTING)
MUSE                                                         |STARLIGHT
TALLY HALL                                                   |SPRING AND A STORM
PARAMORE                                                     |MISERY BUSINESS
MY CHEMICAL ROMANCE                                          |TEENAGERS
GERARD WAY                                                   |HAZY SHADE OF WINTER (FEAT. RAY TORO)
BOWLING FOR SOUP                                             |1985
QUEEN                                                        |WE WILL ROCK YOU (REMASTERED)
JOHN MAYER                                                   |NEW LIGHT
VARIOUS ARTISTS                                              |THE WAY YOU MOVE
THE MIGHTY MIGHTY BOSSTONES                                  |THE IMPRESSION THAT I GET
STUDIO KILLERS                                               |DIRTY CAR
TALLY HALL                                                   |THE WHOLE WORLD AND YOU
TALLY HALL                                                   |TAKEN FOR A RIDE
MY CHEMICAL ROMANCE                                          |NA NA NA (NA NA NA NA NA NA NA NA NA)
THE RED JUMPSUIT APPARATUS                                   |FACE DOWN
SYSTEM OF A DOWN                                             |TOXICITY
MY CHEMICAL ROMANCE                                          |WELCOME TO THE BLACK PARADE
MY CHEMICAL ROMANCE                                          |NA NA NA (NA NA NA NA NA NA NA NA NA)
MANFRED MANN'S EARTH BAND                                    |BLINDED BY THE LIGHT
STEPPENWOLF                                                  |MAGIC CARPET RIDE
MAROON 5                                                     |ANIMALS
EMPIRE OF THE SUN                                            |WALKING ON A DREAM
KATY PERRY                                                   |FIREWORK
ALESSIA CARA                                                 |HOW FAR I'LL GO (ALESSIA CARA VERSION)
THE SPENCER DAVIS GROUP                                      |GIMME SOME LOVIN' (REMASTERED)
JAMES BROWN                                                  |I GOT YOU (I FEEL GOOD)
PAUL MCCARTNEY                                               |MAYBE I?M AMAZED (REMASTERED 2011)
THE RONETTES                                                 |BE MY BABY
HALL & OATES                                                 |SHE'S GONE
THE WHO                                                      |BABA O'RILEY (REMIX)
MUNGO JERRY                                                  |IN THE SUMMERTIME
THE ROLLING STONES                                           |MISS YOU (REMASTERED)
SIMON & GARFUNKEL                                            |CECILIA
STEVIE WONDER                                                |I WISH
PAUL SIMON                                                   |YOU CAN CALL ME AL
CREEDENCE CLEARWATER REVIVAL                                 |LOOKIN' OUT MY BACK DOOR
BILLY JOEL                                                   |IT'S STILL ROCK AND ROLL TO ME
LED ZEPPELIN                                                 |D'YER MAK'ER (REMASTERED)
BILL WITHERS                                                 |LEAN ON ME
THE BEATLES                                                  |HELP! (REMASTERED 2009)
GEORGE HARRISON                                              |GOT MY MIND SET ON YOU (REMASTERED 2004)
ELECTRIC LIGHT ORCHESTRA                                     |MR. BLUE SKY
JOHN DENVER                                                  |TAKE ME HOME, COUNTRY ROADS (ORIGINAL VERSION)
JOHN LENNON                                                  |IMAGINE (REMASTERED)
LED ZEPPELIN                                                 |FOOL IN THE RAIN (1990 REMASTER)
THE BEATLES                                                  |COME TOGETHER (REMASTERED 2009)
MICHAEL JACKSON                                              |DON'T STOP 'TIL YOU GET ENOUGH
MICHAEL JACKSON                                              |BILLIE JEAN
THE BEATLES                                                  |IN MY LIFE (REMASTERED 2009)
CHICAGO                                                      |25 OR 6 TO 4
LED ZEPPELIN                                                 |WHOLE LOTTA LOVE (REMASTER)
RISE AGAINST                                                 |SAVIOR
COHEED AND CAMBRIA                                           |PEACE TO THE MOUNTAIN
NE-YO                                                        |CLOSER
JAY AND THE AMERICANS                                        |COME A LITTLE BIT CLOSER
MARTY ROBBINS                                                |BIG IRON
GRETA VAN FLEET                                              |TALK ON THE STREET
QUEEN                                                        |YOU'RE MY BEST FRIEND (REMASTERED 2011)
SIMPLE MINDS                                                 |DON'T YOU (FORGET ABOUT ME)
ELECTRIC LIGHT ORCHESTRA                                     |HOLD ON TIGHT
GLEN CAMPBELL                                                |SOUTHERN NIGHTS
TWO DOOR CINEMA CLUB                                         |SOMETHING GOOD CAN WORK
JOURNEY                                                      |DON'T STOP BELIEVIN'
CUTTING CREW                                                 |(I JUST) DIED IN YOUR ARMS
DIO                                                          |HOLY DIVER
JIMMY EAT WORLD                                              |THE MIDDLE
STYX                                                         |RENEGADE
UTADA HIKARU                                                 |MICHI
BILLY JOEL                                                   |PIANO MAN
CHILDISH GAMBINO                                             |HEARTBEAT
KENDRICK LAMAR                                               |SWIMMING POOLS (DRANK)
PAUL MCCARTNEY                                               |WONDERFUL CHRISTMASTIME (EDITED VERSION / REMASTERED 2011)
??????????                                                   |TIME MACHINE
??????????                                                   |LABYRINTH
??????????                                                   |MURDERS
??????????                                                   |ISLE UNTO THYSELF
??????????                                                   |DREAM SWEET IN SEA MAJOR
OLIVER TREE                                                  |MOVEMENT
THE ROLLING STONES                                           |PAINT IT, BLACK
DEORRO                                                       |FIVE HOURS
UTADA HIKARU                                                 |SANCTUARY (OPENING)
UTADA HIKARU                                                 |DON'T THINK TWICE
MOLLY HATCHET                                                |FLIRTIN' WITH DISASTER
LIL JON                                                      |TURN DOWN FOR WHAT
FOSTER THE PEOPLE                                            |I WOULD DO ANYTHING FOR YOU
THE STROKES                                                  |SOMEDAY
THE STROKES                                                  |LAST NITE
PINK FLOYD                                                   |WISH YOU WERE HERE
DAFT PUNK                                                    |INSTANT CRUSH
SKRILLEX                                                     |SCARY MONSTERS AND NICE SPRITES
DAFT PUNK                                                    |SOMETHING ABOUT US
BILLY JOEL                                                   |MOVIN' OUT (ANTHONY'S SONG)
VARIOUS ARTISTS                                              |KYOTO (FEAT. SIRAH)
CREEDENCE CLEARWATER REVIVAL                                 |HAVE YOU EVER SEEN THE RAIN
CYNDI LAUPER                                                 |TIME AFTER TIME
FOSTER THE PEOPLE                                            |WASTE
FOREIGNER                                                    |I WANT TO KNOW WHAT LOVE IS (2008 REMASTER)
SAINT MOTEL                                                  |MY TYPE
VARIOUS ARTISTS                                              |BANGARANG (FEAT. SIRAH)
QUEEN                                                        |THE SHOW MUST GO ON (REMASTERED 2011)
THE MARSHALL TUCKER BAND                                     |CAN'T YOU SEE
THE ALL-AMERICAN REJECTS                                     |GIVES YOU HELL
TWO DOOR CINEMA CLUB                                         |UNDERCOVER MARTYN
BRUNO MARS                                                   |GRENADE
ELTON JOHN                                                   |GOODBYE YELLOW BRICK ROAD (REMASTERED 2014)
FOGHAT                                                       |SLOW RIDE
ELTON JOHN                                                   |TINY DANCER
ELTON JOHN                                                   |BENNIE AND THE JETS (REMASTERED 2014)
TRAVIE MCCOY                                                 |BILLIONAIRE (FEAT. BRUNO MARS)
CHILDISH GAMBINO                                             |FREAKS AND GEEKS
VARIOUS ARTISTS                                              |HEY YA!
ELECTRIC LIGHT ORCHESTRA                                     |MR. BLUE SKY (SCORE)
HEAD EAST                                                    |NEVER BEEN ANY REASON
YES                                                          |ROUNDABOUT (2008 REMASTERED VERSION)
NOTHIN' ON YOU (FEAT. BRUNO MARS) (OFFICIAL VIDEO)           |B.O.B
FOREVER (OFFICIAL MUSIC VIDEO)                               |CHRIS BROWN
GLASS ANIMALS                                                |GOOEY
THE MARÍAS                                                   |I DON'T KNOW YOU
BLUE ÖYSTER CULT                                             |BURNIN' FOR YOU
STEELY DAN                                                   |DO IT AGAIN
BILLY THORPE                                                 |CHILDREN OF THE SUN
GRETA VAN FLEET                                              |HIGHWAY TUNE
THE ROLLING STONES                                           |SYMPATHY FOR THE DEVIL (50TH ANNIVERSARY EDITION)
GORILLAZ                                                     |DARE
TIMMY TRUMPET                                                |FREAKS (RADIO EDIT)
LYNYRD SKYNYRD                                               |SIMPLE MAN
BILLY JOEL                                                   |PIANO MAN
COLDPLAY                                                     |CLOCKS
PHOENIX                                                      |1901
WEEZER                                                       |ISLAND IN THE SUN
AVICII                                                       |THE NIGHTS
YOUNG THE GIANT                                              |COUGH SYRUP
GEORGE HARRISON                                              |MY SWEET LORD
COLDPLAY                                                     |PARADISE
SOUNDGARDEN                                                  |BLACK HOLE SUN
QUEEN                                                        |KILLER QUEEN (REMASTERED 2011)
ARCTIC MONKEYS                                               |R U MINE?
SCORPIONS                                                    |WIND OF CHANGE
THE KILLERS                                                  |SOMEBODY TOLD ME
QUEEN                                                        |CRAZY LITTLE THING CALLED LOVE (REMASTERED 2011)
BLUE SWEDE                                                   |HOOKED ON A FEELING
AVICII                                                       |WAKE ME UP
VAMPIRE WEEKEND                                              |A-PUNK
PHOENIX                                                      |IF I EVER FEEL BETTER
GORILLAZ                                                     |CLINT EASTWOOD
TWO DOOR CINEMA CLUB                                         |WHAT YOU KNOW
VARIOUS ARTISTS                                              |SOMEBODY THAT I USED TO KNOW
AMALEE                                                       |MASAYUME CHASING
DAFT PUNK                                                    |ONE MORE TIME
DAFT PUNK                                                    |GET LUCKY (RADIO EDIT)
QUEEN                                                        |ANOTHER ONE BITES THE DUST (REMASTERED 2011)
THE STRUTS                                                   |ONE NIGHT ONLY
THE VERVE                                                    |BITTER SWEET SYMPHONY (EXTENDED VERSION)
DAFT PUNK                                                    |VERIDIS QUO
ELTON JOHN                                                   |ROCKET MAN (I THINK IT'S GOING TO BE A LONG, LONG TIME)
IMAGINE DRAGONS                                              |BELIEVER
DISCIPLES                                                    |HOW DEEP IS YOUR LOVE
WEEZER                                                       |SAY IT AIN'T SO
THE ROLLING STONES                                           |GIMME SHELTER
PASSION PIT                                                  |TAKE A WALK
PHOENIX                                                      |LISZTOMANIA
M83                                                          |MIDNIGHT CITY
FRANZ FERDINAND                                              |TAKE ME OUT
UTADA HIKARU                                                 |SIMPLE AND CLEAN
THE POLICE                                                   |EVERY BREATH YOU TAKE (REMASTERED 2003)
MUSE                                                         |HYSTERIA
THE KILLERS                                                  |WHEN YOU WERE YOUNG
QUEEN                                                        |WE WILL ROCK YOU
CAGE THE ELEPHANT                                            |AIN'T NO REST FOR THE WICKED (RADIO VERSION)
UTADA HIKARU                                                 |DON'T THINK TWICE
THIRD EYE BLIND                                              |NEVER LET YOU GO (2008 VERSION)
THE KILLERS                                                  |MR. BRIGHTSIDE
L'INDÉCIS                                                    |SOULFUL (ORIGINAL MIX)
FOSTER THE PEOPLE                                            |HELENA BEAT
THE STRUTS                                                   |COULD HAVE BEEN ME
                                                             |KINGDOM HEARTS II SOUNDTRACK- SANCTUARY
UTADA HIKARU                                                 |FACE MY FEARS (ENGLISH VERSION)
QUEEN                                                        |BOHEMIAN RHAPSODY (REMASTERED 2011)
DIE ANTWOORD                                                 |BABY'S ON FIRE
FLEETWOOD MAC                                                |RHIANNON (WILL YOU EVER WIN) (2017 REMASTER)
QUEEN                                                        |UNDER PRESSURE (REMASTERED)
OUTKAST                                                      |MS. JACKSON
AVICII                                                       |WAITING FOR LOVE
VANCE JOY                                                    |RIPTIDE
FLEETWOOD MAC                                                |LANDSLIDE
YOUNG THE GIANT                                              |SUPERPOSITION
CREEDENCE CLEARWATER REVIVAL                                 |FORTUNATE SON
QUEEN                                                        |ANOTHER ONE BITES THE DUST
HALSEY                                                       |GASOLINE
CHILDISH GAMBINO                                             |3005
GAULLIN                                                      |MOONLIGHT
GYM CLASS HEROES                                             |STEREO HEARTS (FEAT. ADAM LEVINE)
MIKE POSNER                                                  |I TOOK A PILL IN IBIZA (SEEB REMIX)
FOSTER THE PEOPLE                                            |HOUDINI
THE ANIMALS                                                  |HOUSE OF THE RISING SUN
QUEEN                                                        |DON'T STOP ME NOW (REMASTERED)
HALL & OATES                                                 |MANEATER
THE HUMAN LEAGUE                                             |DON'T YOU WANT ME
AMALEE                                                       |PAPERMOON (SOUL EATER)
MILKY CHANCE                                                 |STOLEN DANCE
TEARS FOR FEARS                                              |EVERYBODY WANTS TO RULE THE WORLD
HALF·ALIVE                                                   |STILL FEEL.
ALT-J                                                        |BREEZEBLOCKS
BLONDIE                                                      |HEART OF GLASS
EMPIRE OF THE SUN                                            |WALKING ON A DREAM
THE REVIVALISTS                                              |WISH I KNEW YOU
CAPITAL CITIES                                               |SAFE AND SOUND
TEARS FOR FEARS                                              |EVERYBODY WANTS TO RULE THE WORLD
MARIAN HILL                                                  |DOWN
CREEDENCE CLEARWATER REVIVAL                                 |BAD MOON RISING
THE HEAVY                                                    |SHORT CHANGE HERO
NEW RADICALS                                                 |YOU GET WHAT YOU GIVE
CHILDISH GAMBINO                                             |REDBONE
THREE DAYS GRACE                                             |I HATE EVERYTHING ABOUT YOU
BØRNS                                                        |ELECTRIC LOVE
KIESZA                                                       |HIDEAWAY
KIESZA                                                       |HIDEAWAY
TAYLOR SWIFT                                                 |SHAKE IT OFF
MUSE                                                         |UPRISING
AL GREEN                                                     |LET'S STAY TOGETHER
BLIND MELON                                                  |NO RAIN
PHOENIX                                                      |LISZTOMANIA
YOUNG THE GIANT                                              |SUPERPOSITION
ARCTIC MONKEYS                                               |FLUORESCENT ADOLESCENT
KANYE WEST                                                   |LIFT YOURSELF
DIRE STRAITS                                                 |MONEY FOR NOTHING
SILVERSUN PICKUPS                                            |LAZY EYE
GROUPLOVE                                                    |TONGUE TIED
MUSE                                                         |KNIGHTS OF CYDONIA
SAINT MOTEL                                                  |GETAWAY
LORDE                                                        |GREEN LIGHT
OUTKAST                                                      |HEY YA!
TRAIN                                                        |HEY, SOUL SISTER
GREEN LIGHT                                                  |LORDE
NELLY FURTADO                                                |PROMISCUOUS
                                                             |GYM CLASS HEROES: STEREO HEARTS FT. ADAM LEVINE (OFFICIAL VIDEO)
FOO FIGHTERS                                                 |EVERLONG
THIRD EYE BLIND                                              |SEMI-CHARMED LIFE
GRETA VAN FLEET                                              |AGE OF MAN
VARIOUS ARTISTS                                              |1979
VARIOUS ARTISTS                                              |COMFORTABLY NUMB
SIA                                                          |CHANDELIER
50 CENT                                                      |IN DA CLUB
CARLY RAE JEPSEN                                             |CALL ME MAYBE
JASON DERULO                                                 |WIGGLE (FEAT. SNOOP DOGG)
KATY PERRY                                                   |WIDE AWAKE
RICKY MARTIN                                                 |VENTE PA' CA
THE STRUTS                                                   |IN LOVE WITH A CAMERA
SUM 41                                                       |THE HELL SONG
JESSIE J                                                     |PRICE TAG
SUM 41                                                       |FAT LIP
HALF·ALIVE                                                   |STILL FEEL.
WIZ KHALIFA                                                  |ROLL UP
TAKE ME HOME, COUNTRY ROADS (AUDIO)                          |JOHN DENVER
ALL ALONG THE WATCHTOWER (AUDIO)                             |THE JIMI HENDRIX EXPERIENCE
ANTHEM (AUDIO)                                               |GRETA VAN FLEET
LIL WAYNE                                                    |LOVE ME (EXPLICIT)
HARRY CHAPIN                                                 |CAT'S IN THE CRADLE
KINGS OF LEON                                                |SEX ON FIRE
BLUES TRAVELER                                               |RUN-AROUND
GRIZZLY BEAR                                                 |TWO WEEKS
NATHANIEL RATELIFF & THE NIGHT SWEATS                        |S.O.B.
KANYE WEST                                                   |MERCY
THE WANTED                                                   |CHASING THE SUN
WIZ KHALIFA                                                  |WORK HARD, PLAY HARD
WIZ KHALIFA                                                  |BLACK AND YELLOW
SEALS AND CROFTS                                             |SUMMER BREEZE
CHRIS BROWN                                                  |LOYAL
MATCHBOX TWENTY                                              |3AM
GREEN DAY                                                    |21 GUNS
LINKIN PARK                                                  |FAINT
EMINEM                                                       |LOVE THE WAY YOU LIE
LINKIN PARK                                                  |IN THE END
KANYE WEST                                                   |STRONGER
LINKIN PARK                                                  |CRAWLING
EMINEM                                                       |WHEN I'M GONE
KANSAS                                                       |DUST IN THE WIND
EMINEM                                                       |LOSE YOURSELF (SOUNDTRACK VERSION)
AMALEE                                                       |DEARLY BELOVED (KINGDOM HEARTS)
                                                             |KINGDOM HEARTS SIMPLE AND CLEAN BY UTADA HIKARU 720P HD AUDIO BOOST REMIX W/LYRICS IN DESCRIPTION
SPIN DOCTORS                                                 |TWO PRINCES
KAISER CHIEFS                                                |RUBY
ROB CANTOR                                                   |SHIA LABEOUF LIVE
MODEST MOUSE                                                 |GRAVITY RIDES EVERYTHING
CAGE THE ELEPHANT                                            |SHAKE ME DOWN
SEMISONIC                                                    |CLOSING TIME
LMFAO                                                        |CHAMPAGNE SHOWERS
DISCIPLES                                                    |HOW DEEP IS YOUR LOVE
MODEST MOUSE                                                 |ONE CHANCE
CALVIN HARRIS                                                |THIS IS WHAT YOU CAME FOR (EXTENDED MIX)
UPTOWN FUNK (OFFICIAL VIDEO) FT. BRUNO MARS                  |MARK RONSON
LMFAO                                                        |PARTY ROCK ANTHEM
LENNY KRAVITZ                                                |IT AIN'T OVER 'TIL IT'S OVER
CAGE THE ELEPHANT                                            |AIN'T NO REST FOR THE WICKED
FIFTH HARMONY                                                |WORK FROM HOME
THE POSTAL SERVICE                                           |SUCH GREAT HEIGHTS
COUNTING CROWS                                               |HANGINAROUND
MODEST MOUSE                                                 |BUKOWSKI
TRAIN                                                        |DRIVE BY
THE WALLFLOWERS                                              |ONE HEADLIGHT
LENNY KRAVITZ                                                |ARE YOU GONNA GO MY WAY
4 NON BLONDES                                                |WHAT'S UP?
COUNTING CROWS                                               |MR. JONES
CALVIN HARRIS                                                |I NEED YOUR LOVE
TAYLOR SWIFT                                                 |BAD BLOOD
SYSTEM OF A DOWN                                             |CHOP SUEY!
EXTREME                                                      |MORE THAN WORDS
YEAH YEAH YEAHS                                              |MAPS
CALVIN HARRIS                                                |OUTSIDE
MODEST MOUSE                                                 |DANCE HALL
BON IVER                                                     |SKINNY LOVE
FLOBOTS                                                      |HANDLEBARS
PETER BJORN AND JOHN                                         |YOUNG FOLKS
ELLIE GOULDING                                               |BURN
THE BLACK KEYS                                               |TIGHTEN UP
SAINT MOTEL                                                  |FOR ELISE
MODEST MOUSE                                                 |FLORIDA
MODEST MOUSE                                                 |THIS DEVIL'S WORKDAY
MODEST MOUSE                                                 |BLAME IT ON THE TETONS
MODEST MOUSE                                                 |DARK CENTER OF THE UNIVERSE
MODEST MOUSE                                                 |MARCH INTO THE SEA
MODEST MOUSE                                                 |PARTING OF THE SENSORY
MODEST MOUSE                                                 |SATIN IN A COFFIN
MODEST MOUSE                                                 |THE VIEW
MODEST MOUSE                                                 |SPITTING VENOM
MODEST MOUSE                                                 |LITTLE MOTEL
MODEST MOUSE                                                 |FIRE IT UP
MODEST MOUSE                                                 |THE GOOD TIMES ARE KILLING ME
MODEST MOUSE                                                 |MISSED THE BOAT
MODEST MOUSE                                                 |OCEAN BREATHES SALTY
MODEST MOUSE                                                 |DRAMAMINE
MODEST MOUSE                                                 |3RD PLANET
FLO RIDA                                                     |CLUB CAN'T HANDLE ME (FEAT. DAVID GUETTA) (STEP UP 3D)
MODEST MOUSE                                                 |LAMPSHADES ON FIRE
THE STROKES                                                  |YOU ONLY LIVE ONCE
JASON DERULO                                                 |WANT TO WANT ME
BRUNO MARS                                                   |IT WILL RAIN
THE BLACK EYED PEAS                                          |JUST CAN?T GET ENOUGH
THE STROKES                                                  |REPTILIA
WEEZER                                                       |SAY IT AIN'T SO
OF MONSTERS AND MEN                                          |LITTLE TALKS
FRANZ FERDINAND                                              |TAKE ME OUT
DAVID GUETTA                                                 |WITHOUT YOU (FEAT. USHER)
MODEST MOUSE                                                 |DASHBOARD
KID CUDI                                                     |PURSUIT OF HAPPINESS (NIGHTMARE)
AQUA                                                         |BARBIE GIRL
MODEST MOUSE                                                 |FLOAT ON
THE VERVE                                                    |BITTER SWEET SYMPHONY
TRAIN                                                        |DROPS OF JUPITER
KATY PERRY                                                   |E.T.
SPICE GIRLS                                                  |WANNABE
GYM CLASS HEROES                                             |STEREO HEARTS (FEAT. ADAM LEVINE)
VARIOUS ARTISTS                                              |FIRESTONE
WIZ KHALIFA                                                  |YOUNG, WILD & FREE (FEAT. BRUNO MARS)
LENNY KRAVITZ                                                |JOHNNY CASH
LENNY KRAVITZ                                                |IT AIN'T OVER 'TIL IT'S OVER (EXTENDED/DUB VERSION)
LENNY KRAVITZ                                                |FLY AWAY
LENNY KRAVITZ                                                |LOW
EVERYBODY (BACKSTREET'S BACK) (OFFICIAL MUSIC VIDEO)         |BACKSTREET BOYS
E.T. (OFFICIAL) FT. KANYE WEST                               |KATY PERRY
NATALIE IMBRUGLIA                                            |TORN
SURVIVOR                                                     |EYE OF THE TIGER
SMASH MOUTH                                                  |ALL STAR
NIRVANA                                                      |SMELLS LIKE TEEN SPIRIT
THE FRATELLIS                                                |CHELSEA DAGGER
ELECTRIC LIGHT ORCHESTRA                                     |DON'T BRING ME DOWN
TRAVIE MCCOY                                                 |BILLIONAIRE (FEAT. BRUNO MARS)
THE NEIGHBOURHOOD                                            |SWEATER WEATHER
TEARS FOR FEARS                                              |MAD WORLD
BILLY JOEL                                                   |THE RIVER OF DREAMS
