T-PAIN                                                       |I'M SPRUNG
AMERICA                                                      |YOU CAN DO MAGIC
SILVER                                                       |NO WONDER
JIM CROCE                                                    |OPERATOR (THAT'S NOT THE WAY IT FEELS)
ELECTRIC LIGHT ORCHESTRA                                     |TIGHTROPE
GEORGE HARRISON                                              |GIVE ME LOVE (GIVE ME PEACE ON EARTH)
JOHN LENNON                                                  |WATCHING THE WHEELS
GLEN CAMPBELL                                                |COUNT ON ME
JERRY REED                                                   |EAST BOUND AND DOWN
JIM CROCE                                                    |YOU DON'T MESS AROUND WITH JIM
ELECTRIC LIGHT ORCHESTRA                                     |CALLING AMERICA
DAVID BOWIE                                                  |SPACE ODDITY
EAGLES                                                       |LIFE IN THE FAST LANE
BEN E. KING                                                  |SAVE THE LAST DANCE FOR ME
SILVER                                                       |CLIMBING
THE FIVE STAIRSTEPS                                          |O-O-H CHILD
AC/DC                                                        |IT'S A LONG WAY TO THE TOP (IF YOU WANNA ROCK 'N' ROLL)
MICHAEL MCDONALD                                             |I KEEP FORGETTIN'
WARREN ZEVON                                                 |WEREWOLVES OF LONDON
GLEN CAMPBELL                                                |IF THIS IS LOVE
ACE                                                          |HOW LONG
JIM CROCE                                                    |I GOT A NAME
TOM PETTY                                                    |LEARNING TO FLY
ELECTRIC LIGHT ORCHESTRA                                     |TELEPHONE LINE
SILVER                                                       |MEMORY
HARRY BELAFONTE                                              |DAY-O (BANANA BOAT SONG)
ELECTRIC LIGHT ORCHESTRA                                     |ALL OVER THE WORLD
SIMON & GARFUNKEL                                            |THE SOUND OF SILENCE (LIVE 1969)
GORDON LIGHTFOOT                                             |SUNDOWN
PAUL SIMON                                                   |KODACHROME
CREEDENCE CLEARWATER REVIVAL                                 |BORN ON THE BAYOU
SAM COOKE                                                    |TWISTIN' THE NIGHT AWAY
ALIOTTA, HAYNES, JEREMIAH                                    |SNOW QUEEN
NEIL YOUNG                                                   |HEART OF GOLD
CAT STEVENS                                                  |WILD WORLD
THE YOUNGBLOODS                                              |GET TOGETHER
THE SPINNERS                                                 |I'LL BE AROUND
GINO VANNELLI                                                |I JUST WANNA STOP
AMBROSIA                                                     |HOW MUCH I FEEL (REMASTERED VERSION)
THE CARS                                                     |MOVING IN STEREO
CHRISTOPHER CROSS                                            |NEVER BE THE SAME
TOM PETTY                                                    |YOU GOT LUCKY
SIMON & GARFUNKEL                                            |THE SOUND OF SILENCE
JOHN MELLENCAMP                                              |PINK HOUSES
CHEAP TRICK                                                  |IF YOU WANT MY LOVE (ALTERNATE VERSION)
THE MOODY BLUES                                              |HIGHWAY
ELVIS PRESLEY                                                |DON'T BE CRUEL
THE BEACH BOYS                                               |DON'T WORRY BABY
GLEN CAMPBELL                                                |RHINESTONE COWBOY
THE DOOBIE BROTHERS                                          |TAKIN' IT TO THE STREETS
EAGLES                                                       |THE BEST OF MY LOVE
EAGLES                                                       |ONE OF THESE NIGHTS
CHARLIE RICH                                                 |THE MOST BEAUTIFUL GIRL
CHEAP TRICK                                                  |THAT 70'S SONG
JAY & THE AMERICANS                                          |CRYING
THE BAND                                                     |THE WEIGHT
GLEN CAMPBELL                                                |SEE YOU ON SUNDAY
JAMES TAYLOR                                                 |FIRE AND RAIN
DEPECHE MODE                                                 |ENJOY THE SILENCE
SWEET                                                        |LITTLE WILLY
TOMMY TUTONE                                                 |867-5309 / JENNY
THE CARS                                                     |MY BEST FRIEND'S GIRL
VAN HALEN                                                    |DANCE THE NIGHT AWAY
DON MCLEAN                                                   |AMERICAN PIE - NEW VERSION
THE ROLLING STONES                                           |BEAST OF BURDEN
CROSBY, STILLS & NASH                                        |SUITE: JUDY BLUE EYES
JAY & THE AMERICANS                                          |SAVE THE LAST DANCE FOR ME
THE AMERICAN BREED                                           |BEND ME, SHAPE ME
JAY & THE AMERICANS                                          |CARA MIA
MAKJ                                                         |HOLD UP
KILL THE NOISE                                               |ROCKERS (BRO SAFARI & UFO! REMIX)
FLOSSTRADAMUS & YELLOW CLAW                                  |PILLZ
MARTIN GARRIX & JAY HARDWAY                                  |ERROR 404
PRESTON JAMES                                                |WASTED
YOLANDA BE COOL                                              |CHANGE (OH SNAP REMIX)
BINGO PLAYERS                                                |GET UP (RATTLE) (ORIGINAL INSTRUMENTAL)
MARKUS SCHULZ                                                |THE SPIRITUAL GATEWAY - TRANSMISSION THEME 2013 (RADIO EDIT)
CARNAGE (DJ)                                                 |SIGNAL
CALVIN HARRIS                                                |C.U.B.A
CARNAGE (DJ)                                                 |BOOTSHAUS (FEAT. WHYEL)
ALVARO & MERCER                                              |WELCOME TO THE JUNGLE
CARNAGE (DJ)                                                 |NOVEMBER SKIES (FEAT. TOMAS BARFOD & NINA KINERT)
CARNAGE (DJ)                                                 |THE SOUND (FEAT. JUNKIE KID)
CARNAGE (DJ)                                                 |BRICKS (FEAT. MIGOS)
CARNAGE (DJ)                                                 |RGV (FEAT. MILO & OTIS)
TNGHT                                                        |HIGHER GROUND
TWRK                                                         |BADINGA!
ROYAL-T                                                      |KOOPA SHELL
SUB ANTIX & PHANTASMA                                        |RADICAL
BRILLZ                                                       |SMASHI TUP (CORY ENEMY REMIX)
ETC! ETC!, BRILLZ & DIPLO                                    |SWOOP
HALOGRAMS                                                    |MAKE IT REIGN
JANTSEN                                                      |WHEN THE BEATS DROP
RL GRIME                                                     |HEARD ME
MT. EDEN                                                     |SIERRA LEONE (TOMMIE SUNSHINE & LIVE CITY REMIX)
DIMITRI VEGAS, LIKE MIKE & GTA                               |TURN IT UP (PELARI TRAP REMIX)
MIMOSA                                                       |LOST
RICKY REMEDY                                                 |SLUGGIN
BIG CHOCOLATE                                                |BLUE MILK
BRILLZ                                                       |GEEKIN (FEAT. QUE)
BRILLZ                                                       |BUCK (FEAT. GANGSTA BOO)
BRILLZ                                                       |DEJA VU
FALL OUT BOY                                                 |THE LAST OF THE REAL ONES
AMY SHARK                                                    |ADORE
WEEZER                                                       |BEACH BOYS
THE ACADEMIC                                                 |BEAR CLAWS
THIRTY SECONDS TO MARS                                       |WALK ON WATER
DEAL CASINO                                                  |RED BALLOON
VANCE JOY                                                    |LIKE GOLD
LILY ALLEN                                                   |TRIGGER BANG (FEAT. GIGGS)
WALK THE MOON                                                |ONE FOOT
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS)
PITBULL                                                      |THE ANTHEM
ONEREPUBLIC                                                  |LOVE RUNS OUT
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS) (NOLASWIFT REMIX)
JASON DERULO                                                 |TALK DIRTY
FLO RIDA                                                     |WHISTLE
PITBULL                                                      |TIMBER
IRON MAIDEN                                                  |PHANTOM OF THE OPERA (LIVE)
IRON MAIDEN                                                  |PHANTOM OF THE OPERA
METALLICA                                                    |FOR WHOM THE BELL TOLLS
METALLICA                                                    |WELCOME HOME (SANITARIUM)
IRON MAIDEN                                                  |GHOST OF THE NAVIGATOR
IRON MAIDEN                                                  |POWERSLAVE
IRON MAIDEN                                                  |CHILDREN OF THE DAMNED
IRON MAIDEN                                                  |CAUGHT SOMEWHERE IN TIME
THE CHAINSMOKERS                                             |ROSES (FEAT. ROZES)
TIËSTO & KSHMR                                               |SECRETS (FEAT. VASSY) (RADIO EDIT)
DEORRO X CHRIS BROWN                                         |FIVE MORE HOURS
ALESSO                                                       |TAKE MY BREATH AWAY
KYGO                                                         |FIRESTONE (FEAT. CONRAD SEWELL)
MAJOR LAZER                                                  |LIGHT IT UP (FEAT. NYLA & FUSE ODG) (REMIX)
MARTIN GARRIX & DUA LIPA                                     |SCARED TO BE LONELY (BROOKS REMIX)
DVBBS                                                        |GOMF (FEAT. BRIDGE)
TIËSTO                                                       |CARRY YOU HOME (FEAT. STARGATE & ALOE BLACC)
DYNORO & GIGI D'AGOSTINO                                     |IN MY MIND
CALVIN HARRIS                                                |SLIDE (FEAT. FRANK OCEAN & MIGOS)
SIA                                                          |MOVE YOUR BODY (ALAN WALKER REMIX)
MARSHMELLO                                                   |SILENCE (FEAT. KHALID)
SKRILLEX & DIPLO                                             |MIND (FEAT. KAI)
COLDPLAY                                                     |HYMN FOR THE WEEKEND (SEEB REMIX)
ALESSO                                                       |FALLING
ANNE-MARIE                                                   |ALARM
SEVEN LIONS                                                  |FALLING AWAY (FEAT. LIGHTS)
OF MONSTERS AND MEN                                          |LOVE LOVE LOVE
IMAGINE DRAGONS                                              |AMSTERDAM
IMAGINE DRAGONS                                              |ROUND AND ROUND
THE SCRIPT                                                   |HALL OF FAME
PHAELEH                                                      |AFTERGLOW
GEMMY                                                        |SUPLIGEN
FLUX PAVILION                                                |DAYDREAMER (EXTENDED VERSION)
BINGO PLAYERS                                                |GET UP (RATTLE) (FEAT. FAR EAST MOVEMENT) (LUMINOX VOCAL MIX)
FLUX PAVILION                                                |ONE TWO THREE (MAKE YOUR BODY WANNA)
SHOWTEK & JUSTIN PRIME                                       |CANNONBALL
DJ GODFATHER                                                 |TWERK WIT IT
HUMAN RESOURCE                                               |DOMINATOR (HERVE REMIX)
AFROJACK & STEVE AOKI                                        |NO BEEF (INSTRUMENTAL MIX)
AFROJACK & SHERMANOLOGY                                      |CAN'T STOP ME (CLUB MIX)
CHUCKIE & JUNXTERJACK                                        |MAKE SOME NOISE (DEORRO REMIX)
CARL TRICKS                                                  |MAD DASH (BINGO PLAYERS EDIT)
AFROJACK & STEVE AOKI                                        |NO BEEF (VOCAL MIX)
CASELY                                                       |SWEAT (FEAT. LIL JON & MACHEL MONTANO)
MAJOR LAZER                                                  |JUMP UP (FEAT. LEFTSIDE & SUPAHYPE)
STEVE AOKI                                                   |NO BEEF
AAREN SAN                                                    |APES FROM SPACE (PHATSO BROWN REMIX)
GUY SEBASTIAN & LUPE FIASCO                                  |BATTLE SCARS
DANNA/DEVOTCHKA                                              |THE WINNER IS
GREGOR SALTO, AFROJACK                                       |I'LL BE THERE
AFROJACK                                                     |LIONHEART
MAJOR LAZER & VYBZ KARTEL                                    |PON DE FLOOR
STEVE AOKI & LAIDBACK LUKE                                   |TURBULENCE
MACKLEMORE & RYAN LEWIS                                      |DOWNTOWN (FEAT. MELLE MEL, GRANDMASTER CAZ, KOOL MOE DEE & ERIC NALLY)
DISNEY (CHILDREN'S)                                          |I WAN'NA BE LIKE YOU (THE MONKEY SONG)
WALT DISNEY'S THE LION KING (CHILDREN'S)                     |I JUST CAN'T WAIT TO BE KING
WALT DISNEY'S THE LION KING (CHILDREN'S)                     |CIRCLE OF LIFE
CALVIN HARRIS                                                |PRAY TO GOD (FEAT. HAIM)
CALVIN HARRIS                                                |THINKING ABOUT YOU (FEAT. AYAH MARAR)
CALVIN HARRIS                                                |WE FOUND LOVE (FEAT. RIHANNA)
ONEREPUBLIC                                                  |IF I LOSE MYSELF
SEBASTIAN INGROSSO, TOMMY TRASH & JOHN MARTIN                |RELOAD (VOCAL VERSION / RADIO EDIT)
LILLY WOOD & THE PRICK                                       |PRAYER IN C (ROBIN SCHULZ RADIO EDIT)
SEBASTIAN INGROSSO & ALESSO                                  |CALLING (LOSE MY MIND)
ALESSO                                                       |IF I LOSE MYSELF (ALESSO VS ONEREPUBLIC)
CALVIN HARRIS                                                |BLAME (FEAT. JOHN NEWMAN)
CALI SWAG DISTRICT                                           |TEACH ME HOW TO DOUGIE
T-WAYNE                                                      |NASTY FREESTYLE
DARYL HALL & JOHN OATES                                      |RICH GIRL
GREASE (ORIGINAL 1978 MOTION PICTURE SOUNDTRACK)             |GREASE
GREASE (ORIGINAL 1978 MOTION PICTURE SOUNDTRACK)             |GREASE (REPRISE)
ENGLAND DAN & JOHN FORD COLEY                                |I'D REALLY LOVE TO SEE YOU TONIGHT
THE DOOBIE BROTHERS                                          |YOU'RE MADE THAT WAY
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |CAN'T TAKE MY EYES OFF YOU
COHEED & CAMBRIA                                             |II - RADIO BYE BYE
COHEED & CAMBRIA                                             |V - ON THE BRINK
COHEED & CAMBRIA                                             |HIDDEN TRACK
COHEED & CAMBRIA                                             |IV - THE ROAD AND THE DAMNED
AER                                                          |THROW IT BACK
WALE                                                         |PRETTY GIRLS (BENNY BENASSI REMIX)
BIG BOI                                                      |ALL NIGHT
AER                                                          |SPADES, CLUBS, & DIAMONDS
AER                                                          |WON'T LAUGH
AER                                                          |PRETTY LADY (AROUND ME)
AER                                                          |EX
CHIDDY BANG                                                  |TALKING TO MYSELF
AER                                                          |TAKE IT WRONG
AER                                                          |ABOVE MY FLOOR
AER                                                          |IF YOU WANT (TREES)
AER                                                          |MEDINA (REMASTERED)
AER                                                          |SINCERELY
AER                                                          |FEW TIMES
AER                                                          |TRY HER
WALK OFF THE EARTH                                           |RULE THE WORLD
IMAGINE DRAGONS                                              |FALLEN
WALK OFF THE EARTH                                           |SOMEONE LIKE YOU
WALK OFF THE EARTH                                           |SHAKE
WALK OFF THE EARTH                                           |HOME WE'LL GO
WALK OFF THE EARTH                                           |SPEECHES
WALK OFF THE EARTH                                           |SOMEBODY THAT I USED TO KNOW
WALK OFF THE EARTH                                           |REVO
MAT KEARNEY                                                  |HEY MAMA
WALK OFF THE EARTH                                           |SPEECHES (ITUNES SESSION)
WALK OFF THE EARTH                                           |HOLD ON (THE BREAK)
THE BELLE STARS                                              |IKO IKO
RUFUS WAINWRIGHT                                             |HALLELUJAH
BOBBY DAY                                                    |LITTLE BITTY PRETTY ONE
SAM COOKE                                                    |(WHAT A) WONDERFUL WORLD
RUSTED ROOT                                                  |YOU CAN'T ALWAYS GET WHAT YOU WANT (FEAT. HOT TUNA)
RUSTED ROOT                                                  |MARTYR
RUSTED ROOT                                                  |HEAVEN
RUSTED ROOT                                                  |MAGENTA RADIO
AKON                                                         |I WANNA LOVE YOU
SHOP BOYZ                                                    |PARTY LIKE A ROCKSTAR
BIG TYMERS                                                   |STILL FLY
50 CENT                                                      |P.I.M.P.
PINK FLOYD                                                   |LEARNING TO FLY
PINK FLOYD                                                   |RUN LIKE HELL
PINK FLOYD                                                   |ON THE TURNING AWAY (LIVE 1988)
LED ZEPPELIN                                                 |THE GIRL I LOVE SHE GOT LONG BLACK WAVY HAIR (LIVE ON TASTY POP SUNDAE 6/22/69)
PINK FLOYD                                                   |ON THE TURNING AWAY
PINK FLOYD                                                   |IS THERE ANYBODY OUT THERE?
PINK FLOYD                                                   |MONEY
JETHRO TULL                                                  |SKATING AWAY (ON THE THIN ICE OF THE NEW DAY)
TRAFFIC                                                      |THE LOW SPARK OF HIGH-HEELED BOYS
CLYDE MCPHATTER                                              |LITTLE BITTY PRETTY ONE
DIANA ROSS                                                   |WHERE DID OUR LOVE GO
BILL HALEY & HIS COMETS                                      |(WE'RE GONNA) ROCK AROUND THE CLOCK
SHINEDOWN                                                    |SIMPLE MAN
FRANKIE LYMON & THE TEENAGERS                                |LITTLE BITTY PRETTY ONE
HANK BALLARD & THE MIDNIGHTERS                               |THE TWIST
WINDHAND                                                     |DIABLERIE
BLACK SABBATH                                                |INTO THE VOID
ORCHID (METAL)                                               |LEAVING IT ALL BEHIND
EYEHATEGOD                                                   |SELF MEDICATION BLUES
ROACHPOWDER                                                  |BALLS OF THE SUN
UFOMAMMUT                                                    |ODIO
CHURCH OF MISERY                                             |LAMBS TO THE SLAUGHTER
UNCLE ACID & THE DEADBEATS                                   |CURSE IN THE TREES
POSSESSOR                                                    |CHASMS OF MALICE
SONS OF OTIS                                                 |WAY I FEEL
WITCHFINDER GENERAL                                          |WITCHFINDER GENERAL
HIGH ON FIRE                                                 |DEATH IS THIS COMMUNION
CONAN (METAL)                                                |THUNDERHOOF
ROACHPOWDER                                                  |TO EBOLA WITH LOVE
DOPELORD                                                     |ACID TRIPPIN'
TRUCKFIGHTERS                                                |DESERT CRUISER
GRAVEYARD                                                    |AIN'T FIT TO LIVE HERE
SERPENT THRONE                                               |VEIL OF THE BLACK WITCH
PENTAGRAM                                                    |FOREVER MY QUEEN
ROYAL THUNDER                                                |PARSONZ CURSE
QUEENS OF THE STONE AGE                                      |MEXICOLA
NOCTUM                                                       |DEADLY CONNECTION
MAMMATUS                                                     |THE RIGHTEOUS PATH THROUGH THE FOREST OF OLD
GENTLEMAN'S PISTOLS                                          |LIVING IN SIN AGAIN
BLACK SABBATH                                                |SABBATH BLOODY SABBATH
LOS NATAS                                                    |EL CONO DEL ENCONO
BLACK SABBATH                                                |FAIRIES WEAR BOOTS
BLACK SABBATH                                                |SWEET LEAF
BLACK SABBATH                                                |SNOWBLIND
SCORPION CHILD                                               |HOLE IN THE SKY
WHAM!                                                        |CARELESS WHISPER
UNCLE KRACKER                                                |DRIFT AWAY (FEAT. DOBIE GRAY)
BRYAN ADAMS                                                  |HEAVEN
AC/DC                                                        |FOR THOSE ABOUT TO ROCK
KEYS N KRATES                                                |DUM DEE DUM
THE SON                                                      |ALL I KNOW (FILTH COLLINS REMIX)
DJ FRESH & DIPLO                                             |EARTHQUAKE
CZR, ZXX, PAUL ANTHONY & ORVILLE KLINE                       |SHAKE THAT ASS (THE 40OZ PROFITS REMIX)
BRILLZ                                                       |SMASHI TUP
A$AP ROCKY                                                   |WILD FOR THE NIGHT
ANTISERUM & MAYHEM                                           |TRIPPY
TROPKILLAZ                                                   |MAMBO
STOOKI SOUND & MR. CARMACK                                   |UPPERS
GRANDTHEFT                                                   |MOBBIN
KIIARA                                                       |DOPEMANG (FEAT. ASHLEY ALL DAY)
YELLOW CLAW                                                  |W.O.L.F.
GORILLAZ                                                     |EL MANANA
GORILLAZ                                                     |FIRE COMING OUT OF THE MONKEY'S HEAD
GORILLAZ                                                     |EVERY PLANET WE REACH IS DEAD
RED HOT CHILI PEPPERS                                        |BY THE WAY
GORILLAZ                                                     |KIDS WITH GUNS
GORILLAZ                                                     |RHINESTONE EYES
LA ROUX                                                      |IN FOR THE KILL (SKREAM'S LET'S GET RAVEY REMIX)
SKRILLEX                                                     |WOULD YOU EVER (FEAT. POO BEAR)
TIËSTO                                                       |LETHAL INDUSTRY
SILENT NICK                                                  |PALLADIO
TIËSTO                                                       |THEME FROM NOREFIELL
DJ SAMMY & YANOU                                             |HEAVEN (EXTENDED MIX)
COHEED & CAMBRIA                                             |III - THE END COMPLETE
DAFT PUNK                                                    |HUMAN AFTER ALL
JUSTICE                                                      |PHANTOM PT. II
ELECTRIXX                                                    |TETRIS
JUSTICE                                                      |PHANTOM
KASKADE & DEADMAU5                                           |MOVE FOR ME (EXTENDED MIX)
DEADMAU5                                                     |LACK OF A BETTER NAME
DEADMAU5                                                     |SOME KIND OF BLUE
DEADMAU5                                                     |RAISE YOUR WEAPON
DEADMAU5                                                     |RAISE YOUR WEAPON (MADEON EXTENDED REMIX)
CREEDENCE CLEARWATER REVIVAL                                 |LODI
CREEDENCE CLEARWATER REVIVAL                                 |WROTE A SONG FOR EVERYONE
CREEDENCE CLEARWATER REVIVAL                                 |LONG AS I CAN SEE THE LIGHT
CREEDENCE CLEARWATER REVIVAL                                 |RUN THROUGH THE JUNGLE
PAUL MCCARTNEY & WINGS                                       |MAYBE I'M AMAZED (LIVE)
THE BEATLES                                                  |GET BACK
THE BEATLES                                                  |BLACKBIRD / YESTERDAY (LOVE VERSION)
THE BEATLES                                                  |COME TOGETHER / DEAR PRUDENCE / CRY BABY CRY (TRANSITION) (LOVE VERSION)
AL JARREAU                                                   |LEAN ON ME
THE BEATLES                                                  |ELEANOR RIGBY / JULIA (TRANSITION) (LOVE VERSION)
GEORGE HARRISON                                              |HERE COMES THE SUN (LIVE)
THE BEATLES                                                  |HERE COMES THE SUN / THE INNER LIGHT (TRANSITION) (LOVE VERSION)
BILLY JOEL                                                   |ONLY THE GOOD DIE YOUNG (LIVE)
THE BEATLES                                                  |ACROSS THE UNIVERSE
PAUL MCCARTNEY                                               |HEY JUDE (LIVE)
THE BEATLES                                                  |SGT. PEPPER'S LONELY HEARTS CLUB BAND
THE BEATLES                                                  |DON'T LET ME DOWN
THE KILLERS                                                  |SMILE LIKE YOU MEAN IT
PHOENIX                                                      |COUNTDOWN
CROOKERS                                                     |EMBRACE THE MARTIAN
KID CUDI                                                     |EMBRACE THE MARTIAN
THE GLITCH MOB                                               |SKULLCLUB
EMANCIPATOR                                                  |MAPS
THE GLITCH MOB                                               |CAN'T KILL US
JORGE QUINTERO                                               |300 VIOLIN ORCHESTRA
THE GLITCH MOB                                               |CARRY THE SUN
MACKLEMORE                                                   |HOLD YOUR HEAD UP
LUPE FIASCO                                                  |WORDS I NEVER SAID
MACKLEMORE                                                   |AND WE DANCED
MACKLEMORE                                                   |GLORIOUS (FEAT. SKYLAR GREY)
MACKLEMORE                                                   |AIN'T GONNA DIE TONIGHT (FEAT. ERIC NALLY)
MACKLEMORE                                                   |WILLY WONKA (FEAT. OFFSET)
MACKLEMORE & RYAN LEWIS                                      |GROWING UP (FEAT. ED SHEERAN)
BENASSI BROS.                                                |GET BETTER
DAFT PUNK                                                    |TELEVISION RULES THE NATION/CRESCENDOLLS (LIVE)
PUBLIC ENEMY                                                 |BRING THE NOISE (BENNY BENASSI PUMP-KIN REMIX)
TIËSTO                                                       |TRAFFIC
PUBLIC ENEMY                                                 |BRING THE NOISE REMIX
BENASSI BROS.                                                |FEEL ALIVE
BENNY BENASSI                                                |NO MATTER WHAT YOU DO
BENASSI BROS.                                                |ILLUSION
